AgeDescription,Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
"Miocene, Cenozoic",17,17.1,16.9,458.8571862,329.0082582,633.0495844,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",17.2,17.4,17.1,427.5398603,307.9224811,584.8474628,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",17.6,17.75,17.5,483.5911127,349.0573089,665.7577715,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",17.9,18.1,17.8,446.2146279,321.5740358,612.69208,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",18,23.03,5.333,403.115836,301.8901774,523.8045707,Yamamoto et al. 2005,Onnagawa Formation,,,,
"Miocene, Cenozoic",18.2,18.3,18,402.0785063,291.2282573,547.2991436,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",18.3,18.5,18.2,382.0457029,278.2641358,519.538315,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",18.6,18.75,18.5,436.0497539,312.508794,599.0355792,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",18.75,18.9,18.6,395.739912,286.4850858,536.929435,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",18.9,19,18.7,476.0814128,342.4964317,653.8230199,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",19.2,19.2,19,491.500406,353.0720976,680.596808,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",19.2,19.3,19,623.6056863,449.5359148,859.5645282,Pagani et al. 2000 (estimated),DSDP516,-30.2763,-35.2852,,
"Miocene, Cenozoic",19.4,19.5,19.2,633.0507811,455.2187292,872.7060845,Pagani et al. 2000 (estimated),DSDP516,-30.2763,-35.2852,,
"Miocene, Cenozoic",19.6,19.7,19.5,568.7015047,414.0192233,776.2893982,Pagani et al. 2000 (estimated),DSDP516,-30.2763,-35.2852,,
"Miocene, Cenozoic",20.25,20.3,20.2,629.081823,452.2799494,865.6614835,Pagani et al. 2000 (estimated),DSDP516,-30.2763,-35.2852,,
"Miocene, Cenozoic",20.45,20.5,20.4,608.7953093,439.8860003,833.3644437,Pagani et al. 2000 (estimated),DSDP516,-30.2763,-35.2852,,
"Miocene, Cenozoic",20.8,20.9,20.75,618.2492887,445.0131592,852.0662955,Pagani et al. 2000 (estimated),DSDP516,-30.2763,-35.2852,,
"Miocene, Cenozoic",21.5,20.6,20.4,656.5961272,470.6563399,907.8224072,Pagani et al. 2000 (estimated),DSDP516,-30.2763,-35.2852,,
"U Oligocene, Cenozoic",24,28.1,23.03,578.7903743,418.2468695,792.6389594,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"U Oligocene, Cenozoic",24,28.1,23.03,648.4216002,464.9586116,905.257661,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"U Oligocene, Cenozoic",25,28.1,23.03,657.5416447,467.3278778,922.2144603,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"U Oligocene, Cenozoic",25,28.1,23.03,649.9310102,463.1041456,907.8404539,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"U Oligocene, Cenozoic",27,28.1,23.03,768.1170753,532.6087093,1125.606309,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"U Oligocene, Cenozoic",27,28.1,23.03,695.3011993,489.7404661,996.5412721,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"Middle Oligocene, Cenozoic",28,30,26,724.041689,515.7758992,1015.984371,Witkowski2018,Europe,,,,
"L Oligocene, Cenozoic",30,33.9,28.1,833.7380676,569.5313427,1253.924939,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"L Oligocene, Cenozoic",30,33.9,28.1,959.8675571,641.3695074,1508.733939,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"L Oligocene, Cenozoic",30,33.9,28.1,941.3237598,632.7688991,1470.6404,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"Early Oligocene, Cenozoic",31,33.9,28.1,616.0765091,445.713282,844.5690181,Witkowski2018,Europe,,,,
"L Oligocene, Cenozoic",31,33.9,28.1,811.4488839,555.9330748,1203.220982,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"L Oligocene, Cenozoic",31,33.9,28.1,842.1227822,578.1101017,1265.388544,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"L Oligocene, Cenozoic",31,33.9,28.1,786.2017006,543.3057428,1156.684932,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"L Oligocene, Cenozoic",32,33.9,28.1,769.584016,533.8253338,1129.673817,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
"L Oligocene, Cenozoic",32,33.9,28.1,824.4633564,565.7192264,1230.451179,Bechtel et al. 2013 (estimated),Angeharan Azerbaijan,,,,
Paleocene-Eocene,51,53.5,50,1063.173476,694.4391263,1742.581515,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,51,53.5,50,872.2162493,593.4400476,1330.013807,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,52,53.5,50,811.1414188,557.5427501,1210.908538,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,52,53.5,50,765.4636164,530.82987,1129.02382,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,52,53.5,50,910.0456119,612.907453,1411.121178,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,52,53.5,50,969.2891447,644.5619319,1535.211819,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,53,53.5,50,971.3129966,644.7962435,1536.022492,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,53,53.5,50,876.9786843,595.0144864,1341.985743,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
