Period,Epoch,Stage,UpperAge,LowerAge,AverageAge,GMST_05,GMST_16,GMST_50,GMST_84,GMST_95,CO2_05,CO2_16,CO2_50,CO2_84,CO2_95
Silurian,Pridoli,Pridoli,419,422.73,420.865,25.5096657145078,29.2976877280541,33.2475587574524,36.7658651448034,38.6372112294075,430.374392382281,614.563581996773,1282.06084148111,2657.8612580121,4030.91844683398
Silurian,Ludlow,Ludfordian,422.73,425.01,423.87,28.2332574132677,31.2623194353126,34.0485438455218,37.2937949494142,38.1737848395804,397.805183193248,589.307527781799,1244.51444703269,2911.84144709278,4506.40467693062
Silurian,Ludlow,Gorstian,425.01,426.74,425.875,18.7688985104995,21.3207681031507,25.5952068415279,30.2828319855059,32.9201315014484,369.128165645155,525.71113694857,1186.81198760257,2815.22325230504,4613.01100567211
Silurian,Wenlock,Homerian,426.74,430.62,428.68,15.046997346172,17.7190074135244,20.9676288815397,24.6395307910392,26.7243304187807,287.978042766772,362.764565623675,524.352632108545,718.362907429355,903.388783231387
Silurian,Wenlock,Sheinwoodian,430.62,432.93,431.775,13.611032497644,16.4277187232488,19.8963512329883,23.7588147460352,25.9049295400452,278.515952907841,364.147614070519,505.478405774419,704.623773082668,911.747725630199
Silurian,Llandovery,Telychian,432.93,438.59,435.76,17.6583743949823,20.6955274061477,24.3616345008342,28.6281014147157,30.7917704532152,369.810167782183,463.464030197546,631.492198734604,854.674914027091,1062.41402201779
Silurian,Llandovery,Aeronian/Rhuddanian,438.59,443.07,440.83,12.9515682790124,15.6176027284892,19.4780156455434,22.6564280712253,24.4205129480669,349.344620334408,442.300250947349,620.428547904827,868.24033470261,1069.33228742011
Ordovician,Upper,Hirnantian,443.07,445.21,444.14,14.7611315164506,17.2845976284317,20.8024203560631,25.2858718231722,27.1711592199701,344.540688540386,438.593083704212,623.723005309582,910.652630515162,1155.86648249627
Ordovician,Upper,Katian,445.21,452.75,448.98,22.9774742033469,24.3546557703023,27.8478382779941,31.5420770202686,32.7822239287343,341.486282859657,391.809140339772,483.04576695715,599.460379738402,689.95852401188
Ordovician,Upper,Sandbian,452.75,458.18,455.465,22.4345010158476,23.8447350209456,27.3132582736291,31.7292831254969,32.9283688579153,329.293798879971,386.451371124151,482.1387685479,596.398461446744,685.243187903929
Ordovician,Middle,Darriwilian,458.18,469.42,463.8,24.6316297423936,28.4420201915645,31.0028614951656,33.900648072838,35.8599381460267,1242.42158331661,1482.5560456568,2552.50377141348,3690.79398328505,4313.48033189569
Ordovician,Middle,Dapingian,469.42,471.26,470.34,23.2840285277871,26.8111323395345,30.9044514401457,34.5569732172069,35.9301732951005,2286.73739070559,2634.47959018676,3242.55493249062,4065.56195540037,4673.54864792893
Ordovician,Lower,Floian,471.26,477.08,474.17,23.251079950348,27.0510571201488,31.5273748344447,35.5938409093554,39.2501381519957,2329.8801055683,2685.41829454136,3326.02966163383,4127.44700804765,4784.65665100289
Ordovician,Lower,Tremadocian,477.08,486.85,481.965,22.5686634499389,23.9691850268358,32.1026884647245,35.693403645383,36.8641605679442,2285.60952075924,2655.69855796315,3261.46477939379,4046.52752898112,4665.15778794814
